
Thu May 25 23:29:54 EEST 2017 | 11/1918
Sun Jun 18 01:05:26 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\\1920-03_Kapp-Luettwitz.txt
Sun Jun 18 01:05:26 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:05:48 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\\1921-05_Oberschlesien.txt
Sun Jun 18 01:05:48 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:06:15 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\\1922-06_Rathenau.txt
Sun Jun 18 01:06:16 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:06:33 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\\Ermordung-Rathenaus_Vossische-Zeitung.txt
Sun Jun 18 01:06:34 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:07:18 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\\Ermordung-Rathenaus-continue_Vossische-Zeitung.txt
Sun Jun 18 01:07:18 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:34:08 EEST 2017 | 6/1922
Sun Jun 18 01:34:39 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:35:45 EEST 2017 | 6/1922
Sun Jun 18 01:36:16 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:37:43 EEST 2017 | 6/1922
Sun Jun 18 01:38:14 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:39:59 EEST 2017 | 6/1922
Sun Jun 18 01:40:29 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:45:05 EEST 2017 | 6/1922
Sun Jun 18 01:45:35 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:47:26 EEST 2017 | 6/1922
Sun Jun 18 01:47:56 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:49:41 EEST 2017 | 6/1922
Sun Jun 18 01:50:11 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:52:16 EEST 2017 | 6/1922
Sun Jun 18 01:52:46 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:58:35 EEST 2017 | 6/1922
Sun Jun 18 01:59:05 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 01:59:36 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\period\1922-01_1923-12_m_Orchestra.txt
Sun Jun 18 01:59:37 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:00:21 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\epigraph_Remarque.txt
Sun Jun 18 02:00:21 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:00:40 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-10_Remarque.txt
Sun Jun 18 02:00:40 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:00:43 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Frieden_Remarque.txt
Sun Jun 18 02:00:43 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:00:45 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\11-November-1918_Remarque.txt
Sun Jun 18 02:00:45 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:00:47 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-10_Profession.txt
Sun Jun 18 02:00:47 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:00:55 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-11_Remarque.txt
Sun Jun 18 02:00:55 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:00:58 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train_Remarque.txt
Sun Jun 18 02:00:58 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:01:00 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train-continue_Remarque.txt
Sun Jun 18 02:01:00 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:01:02 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-11_Kaiser.txt
Sun Jun 18 02:01:02 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:01:41 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-12_von-Salomon.txt
Sun Jun 18 02:01:42 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:01:46 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Soldaten_von-Salomon.txt
Sun Jun 18 02:01:46 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:01:58 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-12_join-Freikorps.txt
Sun Jun 18 02:01:58 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:02:10 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1919-03_Freikorps.txt
Sun Jun 18 02:02:10 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:02:20 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1919-06_Versailles.txt
Sun Jun 18 02:02:21 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:02:38 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1920-03_Kapp-Luettwitz.txt
Sun Jun 18 02:02:39 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:02:48 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Kapp-Luettwitz-1920_death.txt
Sun Jun 18 02:02:48 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:03:26 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\epigraph_Remarque.txt
Sun Jun 18 02:03:27 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:03:58 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-10_Remarque.txt
Sun Jun 18 02:03:58 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:04:24 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Frieden_Remarque.txt
Sun Jun 18 02:04:24 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:04:28 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\11-November-1918_Remarque.txt
Sun Jun 18 02:04:28 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:04:29 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-10_Profession.txt
Sun Jun 18 02:04:29 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:04:46 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-11_Remarque.txt
Sun Jun 18 02:04:46 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:04:49 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train_Remarque.txt
Sun Jun 18 02:04:49 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:04:51 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train-continue_Remarque.txt
Sun Jun 18 02:04:51 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:04:53 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-11_Kaiser.txt
Sun Jun 18 02:04:53 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:05:01 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-12_Remarque.txt
Sun Jun 18 02:05:02 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:05:07 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Heimat_Remarque.txt
Sun Jun 18 02:05:07 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:05:12 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-12_Matrosen.txt
Sun Jun 18 02:05:12 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:05:34 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Matrosen_von-Salomon.txt
Sun Jun 18 02:05:35 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:05:44 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Matrosen_Bahnhof.txt
Sun Jun 18 02:05:44 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:05:55 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1919-06_Versailles.txt
Sun Jun 18 02:05:56 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:06:10 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1920-03_Kapp-Luettwitz.txt
Sun Jun 18 02:06:11 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:06:24 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Kapp-Luettwitz-1920_death.txt
Sun Jun 18 02:06:24 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:15:25 EEST 2017 | 3/1920
Sun Jun 18 02:15:55 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:06 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\epigraph_Remarque.txt
Sun Jun 18 02:16:06 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:31 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-10_Remarque.txt
Sun Jun 18 02:16:31 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:33 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Frieden_Remarque.txt
Sun Jun 18 02:16:33 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:35 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\11-November-1918_Remarque.txt
Sun Jun 18 02:16:35 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:36 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-10_Profession.txt
Sun Jun 18 02:16:36 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:41 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\trigger\Student_Details.txt
Sun Jun 18 02:16:41 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:47 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-11_Remarque.txt
Sun Jun 18 02:16:48 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:50 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train_Remarque.txt
Sun Jun 18 02:16:50 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:52 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train-continue_Remarque.txt
Sun Jun 18 02:16:52 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:16:53 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-11_Kaiser.txt
Sun Jun 18 02:16:54 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:17:06 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-12_von-Salomon.txt
Sun Jun 18 02:17:06 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:17:09 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Soldaten_von-Salomon.txt
Sun Jun 18 02:17:09 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:17:13 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-12_join-Freikorps.txt
Sun Jun 18 02:17:13 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:17:22 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1919-03_Freikorps.txt
Sun Jun 18 02:17:22 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:17:34 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1919-06_Versailles.txt
Sun Jun 18 02:17:34 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:17:49 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1920-03_Kapp-Luettwitz.txt
Sun Jun 18 02:17:49 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:17:53 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\message\trigger\Kapp-Luettwitz-1920_death.txt
Sun Jun 18 02:17:54 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:22:01 EEST 2017 | 3/1920
Sun Jun 18 02:22:31 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:20 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\epigraph_Remarque.txt
Sun Jun 18 02:23:20 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:38 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-10_Remarque.txt
Sun Jun 18 02:23:39 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:41 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Frieden_Remarque.txt
Sun Jun 18 02:23:41 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:43 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\11-November-1918_Remarque.txt
Sun Jun 18 02:23:43 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:44 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-10_Profession.txt
Sun Jun 18 02:23:45 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:50 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-11_Remarque.txt
Sun Jun 18 02:23:51 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:54 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train_Remarque.txt
Sun Jun 18 02:23:54 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:56 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Train-continue_Remarque.txt
Sun Jun 18 02:23:56 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:23:58 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\questions\date\1918-11_Kaiser.txt
Sun Jun 18 02:23:58 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:24:07 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-12_Remarque.txt
Sun Jun 18 02:24:08 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:25:07 EEST 2017 | 3/1920
Sun Jun 18 02:25:37 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:25:50 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\epigraph_Remarque.txt
Sun Jun 18 02:25:51 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:26:08 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\date\1918-10_Remarque.txt
Sun Jun 18 02:26:08 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:26:10 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\Frieden_Remarque.txt
Sun Jun 18 02:26:10 EEST 2017 | Left pane book (message) loaded
Sun Jun 18 02:26:12 EEST 2017 | Current message: C:\Users\Admin\Documents\NetBeansProjects\questionnaire\data\events\story\trigger\11-November-1918_Remarque.txt
Sun Jun 18 02:26:12 EEST 2017 | Left pane book (message) loaded
